Keyword,DE Traffic-Tier,SERP-Schwergewichte (Beispiele),Hauptintention,Monetarisierungs-Notiz,Content-Hooks,Schema
Brutto Netto Rechner,Sehr hoch (50k+),"Sparkasse, Handelsblatt, Gehalt.de, Brutto-Netto-Rechner.info",Transaktional/Utility,Hohe Seiten/Besuch möglich; YMYL-Ansprüche hoch,"Aktuelle Steuersätze 2025, Beispiele nach Steuerklasse, Netto/Brutto-Tabelle","SoftwareApplication, HowTo, FAQ"
Prozentrechner,Hoch (10–50k),"Blitzrechner, Schul-/Mathe-Portale",Utility/Education,"Solide RPM, viel Longtail (Rabatt, Mehrwertsteuer)","Rabatt-/Mehrwertsteuer-Modi, Schritt-für-Schritt, interaktive Beispiele","SoftwareApplication, FAQ"
BMI Rechner,Hoch (10–50k),"AOK, TK, Barmer, BZgA",Health Utility (YMYL),"Brand-safe, aber starke Konkurrenz & E-E-A-T nötig","WHO-Klassifikation, Grenzen des BMI, Alternativen (WHtR)","SoftwareApplication, MedicalWebPage, FAQ"
Kalorienverbrauch Rechner,Mittel (3–10k),"TK, Edeka Ernährungsservice, Science-Fitness",Health Utility (YMYL),"Solider Longtail (Sportarten, Tätigkeiten)","PAL-Faktoren, Aktivitätsprofile, Export als CSV/ICS","SoftwareApplication, FAQ"
Währungsumrechner,Hoch (10–50k),"Google OneBox, Banken, Finanzportale",Utility,SERP-Features konkurrenzieren; Longtail nach Paaren,"Spezifische Paare (CHF↔EUR), EZB-Hinweis/Disclaimer","SoftwareApplication, FAQ"
Temperatur Umrechner (°C↔°F↔K),Mittel (3–10k),Bildungs-/Wetterseiten,Utility/Education,"Sehr schnelle Umsetzung, gute UX hebt ab","Beispiele (Backofen, Wetter), Einheiten-Erklärung","SoftwareApplication, FAQ"
Länge Umrechner,Mittel (3–10k),Konverter-Portale,Utility,"Viele Longtails (inch↔cm, feet↔meter)","Sofort-Buttons, typische Werkstatt-/Bau-Beispiele","SoftwareApplication, FAQ"
Gewicht Umrechner,Mittel (3–10k),Konverter-/Wissensseiten,Utility,Gute interne Verlinkung mit Volumen/Backen,"Bäcker-/Küchenumrechnung (g↔cup Hinweis), Beispiele","SoftwareApplication, FAQ"
Volumen Umrechner,Mittel (3–10k),Konverter-/Wissensseiten,Utility,Küchen-/Labor-Longtail,"ml↔L↔gal, Rezepte, Laborhinweise","SoftwareApplication, FAQ"
Fläche Umrechner,Niedrig–Mittel (1–5k),Konverter-/Wissensseiten,Utility,"Bau/Immobilien-Longtail (m², ha, acre)","Garten-/Immobilien-Beispiele, Visualisierungen","SoftwareApplication, FAQ"
Zeit Umrechner,Niedrig–Mittel (1–5k),Tool-/Utility-Seiten,Utility,"Viel Longtail (ms↔s↔min, Zeitzonen separat)","Stopwatch/Timer Verlinkung, praktische Presets","SoftwareApplication, FAQ"
Geschwindigkeit Umrechner (km/h↔mph),Niedrig–Mittel (1–5k),Konverter-/Autoseiten,Utility,"Auto-/Reise-Kontext, stabile RPM","Fahrzeug-Beispiele, Sport (Laufen, Rad)","SoftwareApplication, FAQ"
Durchschnittsrechner,Niedrig (1–3k),Mathe-/Lernportale,Education/Utility,Ergänzt internen Linkgraph,"Arten von Mittelwerten, Beispiele aus Alltag","SoftwareApplication, FAQ"
Bruchrechner,Niedrig–Mittel (1–5k),"Schulseiten, Mathe-Tools",Education/Utility,"Viele Übungs-Longtails (kürzen, addieren)","Schrittweise Lösungen, LaTeX-Render","SoftwareApplication, FAQ"
Wurzelrechner,Niedrig–Mittel (1–5k),Mathe-Tools,Education,"Nischen-Longtail, geringe Konkurrenz","Erklärungen, Beispiele, Runden","SoftwareApplication, FAQ"
Potenzrechner,Niedrig–Mittel (1–5k),Mathe-Tools,Education,Nischen-Longtail,"Exponenten-Regeln, Negative/Brüche","SoftwareApplication, FAQ"
Zinseszins Rechner,Mittel (3–10k),"Finanzblogs, Banken",Finance Utility (YMYL),Gutes B2C-Finanz-Umfeld→höhere RPM,"Sparpläne, Szenarien, Diagramm","SoftwareApplication, FAQ"
Taschenrechner online,Mittel (3–10k),"Google OneBox, Utilityseiten",Utility,Konkurrenz durch SERP-Feature; interne Verlinkung wichtig,"Vollbild, Tastatur-Shortcuts","SoftwareApplication, FAQ"
Seitenverhältnis Rechner (Aspect Ratio),Niedrig–Mittel (1–5k),Designer-/Foto-Seiten,Creator/B2B Utility,B2B-Filter→oft bessere RPM,"Presets (16:9, 9:16), Export","SoftwareApplication, FAQ"
DPI Rechner (Pixel↔mm/cm),Niedrig–Mittel (1–5k),Foto-/Druckseiten,Creator/B2B Utility,Zielgruppe Marketing/Designer→tendenziell höhere CPM,"Druckgrößen-Tabellen, Monitorgrößen","SoftwareApplication, FAQ"
